year,school_name,department,specialty_name,score_level,result_min_score,final_admission_min_score,final_admission_max_score,admission_avg_score,school_retest_min_score,admission_score_raw,source_type,source_url,verify_status,notes
2026,清华大学,深圳国际研究生院,数据科学和信息技术,第三方拟录取最低分,344,344,406,361,343,361【344-406】 强军 320【303-345】,第三方聚合-N诺考研,https://noobdream.com/zexiao/?filter=,第三方聚合结果，建议回到招生单位拟录取名单复核,仅提取原文中带“【最低-最高】”格式的拟录取分数。
2026,清华大学,深圳国际研究生院,电子信息-计算机,第三方拟录取最低分,328,328,392,363,361,363【328-392】,第三方聚合-N诺考研,https://noobdream.com/zexiao/?filter=,第三方聚合结果，建议回到招生单位拟录取名单复核,仅提取原文中带“【最低-最高】”格式的拟录取分数。
2026,清华大学,深圳国际研究生院,电子信息-大数据工程,第三方拟录取最低分,326,326,382,343,340,343【326-382】,第三方聚合-N诺考研,https://noobdream.com/zexiao/?filter=,第三方聚合结果，建议回到招生单位拟录取名单复核,仅提取原文中带“【最低-最高】”格式的拟录取分数。
2026,清华大学,深圳国际研究生院,电子信息-人工智能,第三方拟录取最低分,347,347,360,354,347,354【347-360】,第三方聚合-N诺考研,https://noobdream.com/zexiao/?filter=,第三方聚合结果，建议回到招生单位拟录取名单复核,仅提取原文中带“【最低-最高】”格式的拟录取分数。
2026,清华大学,深圳国际研究生院,,第三方拟录取最低分,325,325,390,357,325,357【325-390】,第三方聚合-N诺考研,https://noobdream.com/zexiao/?filter=,第三方聚合结果，建议回到招生单位拟录取名单复核,仅提取原文中带“【最低-最高】”格式的拟录取分数。
2026,清华大学,深圳国际研究生院,,第三方拟录取最低分,325,325,404,349,325,349【325-404】,第三方聚合-N诺考研,https://noobdream.com/zexiao/?filter=,第三方聚合结果，建议回到招生单位拟录取名单复核,仅提取原文中带“【最低-最高】”格式的拟录取分数。
2026,清华大学,深圳国际研究生院,,第三方拟录取最低分,325,325,394,350,325,350【325-394】,第三方聚合-N诺考研,https://noobdream.com/zexiao/?filter=,第三方聚合结果，建议回到招生单位拟录取名单复核,仅提取原文中带“【最低-最高】”格式的拟录取分数。
2026,清华大学,深圳国际研究生院,,第三方拟录取最低分,329,329,373,354,354,354【329-373】,第三方聚合-N诺考研,https://noobdream.com/zexiao/?filter=,第三方聚合结果，建议回到招生单位拟录取名单复核,仅提取原文中带“【最低-最高】”格式的拟录取分数。
2026,清华大学,深圳国际研究生院,,第三方拟录取最低分,336,336,408,358,336,358【336-408】,第三方聚合-N诺考研,https://noobdream.com/zexiao/?filter=,第三方聚合结果，建议回到招生单位拟录取名单复核,仅提取原文中带“【最低-最高】”格式的拟录取分数。
2026,清华大学,深圳国际研究生院,电子信息-互动媒体 设计与技术,第三方拟录取最低分,349,349,384,363,344,363【349-384】,第三方聚合-N诺考研,https://noobdream.com/zexiao/?filter=,第三方聚合结果，建议回到招生单位拟录取名单复核,仅提取原文中带“【最低-最高】”格式的拟录取分数。
