year,source_url,line_key,category_code,category_name,scope,a_total,a_single_100,a_single_gt100,b_total,b_single_100,b_single_gt100,minority_total
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,01_all,01,哲学,各学科专业,326,41,62,316,38,57,261
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,02_all,02,经济学,各学科专业,324,40,60,314,37,56,259
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,03_all,03,法学,各学科专业,321,40,60,311,37,56,257
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,04_pe,04,教育学,体育学[0403]、体育[0452],310,38,114,300,35,105,248
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,04_education,04,教育学,教育[0451]、国际中文教育[0453],347,48,72,337,45,68,278
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,04_other,04,教育学,其他学科专业,347,48,144,337,45,135,278
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,05_all,05,文学,各学科专业,354,48,72,344,45,68,283
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,06_all,06,历史学,各学科专业,341,45,135,331,42,126,273
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,07_all,07,理学,各学科专业,275,35,53,265,32,48,220
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,08_care,08,工学,工学照顾专业,251,33,50,241,30,45,201
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,08_other,08,工学,其他学科专业,264,35,53,254,32,48,211
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,09_all,09,农学,各学科专业,240,33,50,230,30,45,192
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,10_all,10,医学,各学科专业,294,36,108,284,33,99,235
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,11_all,11,军事学,各学科专业,260,34,51,250,31,47,208
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,12_mba,12,管理学,工商管理[1251],146,35,70,136,30,60,117
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,12_mpa,12,管理学,公共管理[1252],168,39,78,158,34,68,134
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,12_accounting_library_audit,12,管理学,会计[1253]、图书情报[1255]、审计[1257],199,51,102,189,46,92,159
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,12_tourism,12,管理学,旅游管理[1254],151,35,70,141,30,60,121
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,12_engineering_management,12,管理学,工程管理[1256],166,39,78,156,34,68,133
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,12_other,12,管理学,其他学科专业,332,41,62,322,38,57,266
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,13_all,13,艺术学,各学科专业,354,38,57,344,35,53,283
2026,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,14_all,14,交叉学科,各学科专业,266,35,53,256,32,48,213
